Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Liechtenstein,13,0.91,0,0,80,15,11.8,79851.02,,,,52,95.2,104.3,13,0.7,,,,,,,
Lithuania,37,0.84,3,2.8,73.3,16.4,12.4,24500.31,155.7,1.6,-1.9,2012,72.1,147,37,-0.5,67.4,0.2,39.7,22.4,22.8,1.5,1.05
Luxembourg,19,0.89,0.5,0.6,81.7,13.9,11.7,58711.39,371.4,50,9.7,945,94.7,148.4,19,1.3,86.1,0,39.1,25.4,21.2,1.7,1.05
Madagascar,154,0.51,23.6,36,65.1,10.3,6,1328.27,73.1,7.9,0,196,3.7,38.2,154,2.8,34.5,3.7,18.7,75.2,5.1,4.5,1.03
Malawi,173,0.45,16.8,26,62.8,10.8,4.3,747.33,110.5,3.2,0,770,5.8,30.5,173,2.8,16.1,2.9,17.3,86.3,6.3,5.4,1.03
Malaysia,62,0.78,30.2,36.8,74.7,12.7,10,22762.14,154.1,3.7,3.1,25700,67.5,148.8,62,1.6,74.8,2.6,28.2,36.6,8.3,2,1.06
Maldives,104,0.71,0.4,0.4,76.8,13,5.8,12328.39,223.6,15.7,0,1125,49.3,189.4,104,1.9,44.5,0,26,42.2,7.3,2.3,1.06
Mali,179,0.42,15.8,26,58,8.4,2,1582.99,69,3.7,-4,142,7,149,179,3,36.9,3,16.2,95.5,5.4,6.9,1.05
Malta,37,0.84,0.4,0.4,80.6,14.4,10.3,27930.3,182.5,-19.4,2.1,1582,73.2,127,37,0.3,95.3,0,41.4,20.8,26,1.4,1.06
Mauritania,156,0.51,4,5.6,63.1,8.5,3.8,3560.12,133.7,27.1,-1,0,10.7,94.2,156,2.5,42.3,0.6,20,69.4,5.6,4.7,1.05
Mauritius,63,0.78,1.2,1.3,74.4,15.6,8.5,17469.78,120.8,2.2,0,993,41.4,132.3,63,0.4,41.8,0.1,35.5,26.4,13.3,1.5,1.04
Mexico,74,0.76,123.8,143.7,76.8,13.1,8.5,16055.97,64.2,3.3,-2,24200,44.4,82.5,74,1.2,79,11.2,27.7,41.7,10.3,2.2,1.05
Micronesia (Federated States of),123,0.64,0.1,0.1,69.1,11.7,9.7,3432.12,,0.6,-15.7,42,,,123,0.2,22.9,0,21.5,55.3,7.1,3.3,1.07
Moldova (Republic of),107,0.69,3.5,3.1,71.6,11.9,11.2,5223.03,125.3,3.1,-5.9,11.5,46.6,108,107,-0.8,49.8,0.2,36.3,23.6,16.4,1.5,1.06
Mongolia,90,0.73,2.9,3.4,69.4,14.6,9.3,10729.38,112.2,18.7,-1.1,418,27,105.1,90,1.5,71.2,0.3,27.5,40.4,5.6,2.4,1.03
Montenegro,49,0.8,0.6,0.6,76.2,15.2,11.2,14558.13,103.9,10.1,-0.8,1324,61,163,49,0,63.9,0,37.6,26.9,20.2,1.7,1.07
Morocco,126,0.63,33.5,39.2,74,11.6,4.4,6850.14,80.5,3.2,-2.7,10000,56.8,131.7,126,1.4,58.1,3.6,27.5,41.7,7.6,2.8,1.06
